Mat,No.,ID,Qn,Q,Pt,SOC,SOE,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U20,U21,SOH
NMC,41,I4-100,2.1,1.8945,5,5,4.510714285714285,0.00255319148936195,0.007857294542366056,0.0035033939128528147,0.0026103980857072884,0.002765957446808187,0.006548373468525881,0.019378280177634544,0.02086709886547755,0.0027677240791996738,0.011687207819804257,0.004923903312444189,0.0006637168141603311,0.0019136721241759247,0.0027247956403266826,0.048995682372816596,0.05080918328942463,0.0027694929697492654,0.045204900718208485,0.007157700300160386,0.004294755877033651,0.0019136721241759247,0.9021428571428571
NMC,42,I4-200,2.1,1.8275,5,5,4.351190476190475,0.005957446808511513,0.009343809726057195,0.020363477118459095,0.020230585164236814,0.0059574468085097365,0.006548373468525881,0.007468712151796453,0.010737439222041623,0.005961251862891537,0.019762005949850447,0.03267681289167346,0.030973451327434454,0.006591537316606555,0.014252777195556732,0.0245917026468927,0.027474595408355285,0.005965061780996983,0.033375580904097646,0.049411221426922225,0.04272151898734222,0.006591537316606555,0.8702380952380951
NMC,43,I4-400,2.1,1.7245,5,5,4.10595238095238,0.017659574468085637,0.021023571883627135,0.04620100722574971,0.049162497280834216,0.018510638297871473,0.018800168990282806,0.0038352846184901423,0.006280388978929352,0.017883755588673722,0.02698682532936658,0.06871083258728738,0.06858407079646067,0.01849883053370238,0.022846363445817808,0.008822977285525724,0.021640948438088614,0.01661695781849204,0.0359104351499786,0.09674440083121638,0.10375226039782959,0.019774611949818777,0.8211904761904761
NMC,44,I4-500,2.1,1.6775,5,5,3.9940476190476186,0.01851063829787325,0.02378424293905379,0.04204072695423644,0.04568196649989087,0.01914893617021285,0.023447401774398635,0.010698425514735987,0.013168557536466174,0.01852246114541245,0.030811729706757163,0.062444046553267185,0.06924778761061923,0.019774611949819665,0.022846363445817808,0.020461798385582597,0.025592773805043656,0.01789518534299095,0.049852133502323426,0.089586700531056,0.09471066907775771,0.02105039336593606,0.7988095238095237
NMC,45,I4-600,2.1,1.5797,5,5,3.761190476190476,0.041489361702128136,0.04947971968570819,0.08079702211517414,0.0867957363497931,0.04234042553191486,0.044359949302915425,0.01635042389987973,0.019448946515396415,0.04172876304023898,0.04334891627709325,0.11034019695613217,0.11725663716814161,0.04337656814799029,0.044225529239152905,0.01464238783555416,0.02803914188934975,0.0409032807839802,0.05640050697084931,0.14246132532902323,0.15551537070524368,0.04677865192430364,0.7522380952380953
NMC,46,J1-100,2.1,1.9212,5,5,4.574285714285714,0.005319148936170137,0.00594606073476367,0.00613093934749287,0.005873395692843175,0.005319148936170137,0.012251795521757813,0.02260799354057408,0.023905996758508685,0.005961251862891537,0.010412239694007397,0.008281110116382884,0.006858407079645801,0.005315755900489272,0.020750366799412667,0.05181152618734686,0.061347384267971705,0.005965061780996983,0.02555978031263173,0.010159316555068187,0.008363471971067682,0.00467786519243063,0.9148571428571428
NMC,47,J1-200,2.1,1.8448,5,5,4.392380952380952,0.010425531914894037,0.015926948396686846,0.02386687103131191,0.024798781814225457,0.010638297872340274,0.016265314744402737,0.013120710536940194,0.011345218800647316,0.010645092612305618,0.019124521886952905,0.03603401969561304,0.04115044247787658,0.010418881564958404,0.017606371829804957,0.029097052750140406,0.03330824237862284,0.010012782275245158,0.038656527249682604,0.05172015700762067,0.06170886075949511,0.010418881564958404,0.8784761904761904
NMC,48,J1-300,2.1,1.7948,5,5,4.273333333333333,0.009148936170213062,0.009343809726057195,0.02386687103131191,0.025451381335653167,0.0093617021276593,0.01373046049852178,0.011909568025838091,0.010737439222041623,0.008728975942090322,0.008499787505312106,0.03603401969561304,0.0453539823008855,0.009143100148841121,0.02661915740934795,0.029097052750140406,0.03029732781332317,0.00852151682999569,0.01901140684410585,0.055183560378665675,0.07007233273056102,0.009780990856898875,0.8546666666666666
NMC,49,J1-400,2.1,1.7234,5,5,4.1033333333333335,0.025106382978723474,0.029730303673815683,0.050361287497262985,0.049162497280834216,0.025744680851063073,0.026827207435572653,0.01372628179249169,0.008914100486223653,0.02384500745156526,0.034849128771781146,0.07072515666965096,0.0774336283185848,0.025728258558367578,0.031230350031439258,0.021024967148488116,0.03387278885961642,0.023860247123987932,0.045204900718208485,0.0960517201570088,0.09742314647377981,0.027641930682543503,0.8206666666666667
NMC,50,J1-500,2.1,1.6197,5,5,3.856428571428571,0.03617021276595711,0.03758759821618263,0.05561637836654221,0.057863824233194805,0.03765957446808521,0.039923954372624415,0.03431570448122745,0.032009724473257783,0.03640621673408617,0.03421164470888183,0.07363473589973069,0.0774336283185848,0.03827344248352027,0.046740725214839074,0.048432513609911076,0.049680090327437476,0.0357903706859819,0.04457118715673758,0.09882244285384445,0.10578661844484571,0.040187114607696195,0.7712857142857142
